Gene,Value
MNAT1,0.45
PIBF1,-1.2
TDRD3,0.88
NOX4,2.31
BMPR1A,-0.15
TFAM,1.5
SLC38A1,0.05
SHLD2,-0.75
SIX1,1.1
MRPL50,0.3
THAP12,0.9
ATAD1,-0.4
EXOC6,0.2
IL9,-1.8
ZEB1,1.25
IPMK,0.6
CYSLTR2,-0.9
C16orf87,0.1
NAE1,0.55
SLC16A9,1.4
GFI1B,-1.1
TMEM135,0.25
NOC3L,-0.35
NUDT4,0.7
HNRNPCL1,0.02
GLUD2,1.85
FREM3,-1.45
ZBTB6,0.5
ZNF732,-0.22
ZNF626,0.68
GTF2F2,1.2
HMX2,-0.8
GAGE2A,2.15
ZNF676,0.35
OR2T2,-0.1
OR2C3,0.44
ZNF98,1.05
KRTAP4-1,-0.65
RPL39,0.95
RANBP17,-1.3
KRTAP4-9,0.22
KRTAP4-12,0.58
KRTAP2-2,-0.44
SUPT20HL1,0.11
PGAM4,0.82
SETSIP,0.55
RAB6D,-0.3
RPEL1,0.4
KRTAP9-1,-0.15
ZNF728,1.15
